name,price,store,rating,url,is_ad,sold,reviews
Sepatu kasual unisex adindas samba kualitas import sangat cocok untuk jalan,285000,Gudang sepatu jakarta,4.9,https://www.tokopedia.com/amelsportjakarta/sepatu-kasual-unisex-adindas-samba-kualitas-import-sangat-cocok-untuk-jalan-1730804081446389688?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,250+ terjual,0
Adidas Samba OG Cloud White Core Black ( UNISEX ),2100000,Kick Avenue,4.9,https://www.tokopedia.com/hypequartersbykickavenue/adidas-samba-og-cloud-white-core-black-unisex-1734362100624098998?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,3rb+ terjual,0
Adidas Samba OG White Gum (100% Authentic),1849000,Senikersku,5.0,https://www.tokopedia.com/senikersku/adidas-samba-og-white-gum-100-authentic-40-42b1f?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch%26whid%3D18692989,False,2rb+ terjual,0
Adidas Samba OG Black White Gum ( UNISEX ),1650000,Kick Avenue,4.9,https://www.tokopedia.com/hypequartersbykickavenue/adidas-samba-og-black-white-gum-unisex-1734332052143441590?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,1rb+ terjual,0
Adidas Samba OG Black Gum (100% Authentic),1849000,Senikersku,5.0,https://www.tokopedia.com/senikersku/adidas-samba-og-black-gum-100-authentic-40-e7464?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch%26whid%3D18692989,False,750+ terjual,0
Sepatu Casual Ads samba 0g klasic Snekers,266000,2B Sneakers,4.8,https://www.tokopedia.com/2b-sneakers/sepatu-casual-ads-samba-0g-klasic-snekers-1732332579578480493?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,250+ terjual,0
New Sepatu adds samba black and white Unisex Casual 31 - 43 Sneakers Pria Wanita Kekinian bnib og,112990,Cozy Store.CO 05,4.3,https://www.tokopedia.com/cozy-storeco-05/new-sepatu-adds-samba-black-and-white-unisex-casual-31-43-sneakers-pria-wanita-kekinian-bnib-og-1730920178705598347?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,1rb+ terjual,0
Adidas Samba Og Cloud White Black,1607826,807GARAGE,5.0,https://www.tokopedia.com/807garage/adidas-samba-og-cloud-white-black-1729988616550844777?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch%26whid%3D20646585,False,5rb+ terjual,0
Sepatu Casual Adidas Samba Og Black white Gum Sepatu Sneakers Pria Wanita,135500,Dzakka Store13,4.7,https://www.tokopedia.com/dzakka-store13/sepatu-casual-adidas-samba-og-black-white-gum-sepatu-sneakers-pria-wanita-putih-36-e4d3b?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,250+ terjual,0
Sepatu Exosport Anak/Dewasa Ads Samba OG Garis3 Best Quality√ | Pria dan Wanita Kasual Sneakers Terlaris Bisa COD,850000,Exosport,4.9,https://www.tokopedia.com/exosport-1/sepatu-exosport-anak-dewasa-ads-samba-og-garis3-best-quality-pria-dan-wanita-kasual-sneakers-terlaris-bisa-cod-1733108973058819501?extParam=ivf%3Dfalse%26keyword%3Dadidas+samba%26search_id%3D2026022119183963923F49E52413207FJ6%26src%3Dsearch,False,250+ terjual,0
